,Date,CCG,Pollutant,Indicator Value (R µg/m3)
1539,2011,Hounslow,Sulphur dioxide,-0.019038912575752028
1540,2012,Hounslow,Sulphur dioxide,2.173683352033509
1541,2013,Hounslow,Sulphur dioxide,1.601606597282861
1542,2014,Hounslow,Sulphur dioxide,1.858234573189595
1543,2015,Hounslow,Sulphur dioxide,1.491848415887222
1544,2016,Hounslow,Sulphur dioxide,1.531785693715487
1545,2017,Hounslow,Sulphur dioxide,1.0608677094868952
1546,2018,Hounslow,Sulphur dioxide,1.2060372259081493
1547,2019,Hounslow,Sulphur dioxide,1.8199897268994778
1548,2020,Hounslow,Sulphur dioxide,2.069656385177153
1549,2004,Oxford,Sulphur dioxide,
1550,2005,Oxford,Sulphur dioxide,
1551,2006,Oxford,Sulphur dioxide,
1552,2007,Oxford,Sulphur dioxide,
1553,2008,Oxford,Sulphur dioxide,
1554,2009,Oxford,Sulphur dioxide,
1555,2010,Oxford,Sulphur dioxide,
1556,2011,Oxford,Sulphur dioxide,
1557,2012,Oxford,Sulphur dioxide,
1558,2013,Oxford,Sulphur dioxide,
1559,2014,Oxford,Sulphur dioxide,
1560,2015,Oxford,Sulphur dioxide,
1561,2016,Oxford,Sulphur dioxide,
1562,2017,Oxford,Sulphur dioxide,
1563,2018,Oxford,Sulphur dioxide,
1564,2019,Oxford,Sulphur dioxide,
1565,2020,Oxford,Sulphur dioxide,
1566,2006,Oxfordshire,Sulphur dioxide,
1567,2007,Oxfordshire,Sulphur dioxide,
1568,2008,Oxfordshire,Sulphur dioxide,
1569,2009,Oxfordshire,Sulphur dioxide,
1570,2010,Oxfordshire,Sulphur dioxide,
1571,2011,Oxfordshire,Sulphur dioxide,
1572,2012,Oxfordshire,Sulphur dioxide,
1573,2013,Oxfordshire,Sulphur dioxide,
1574,2014,Oxfordshire,Sulphur dioxide,
1575,2015,Oxfordshire,Sulphur dioxide,
1576,2016,Oxfordshire,Sulphur dioxide,
1577,2017,Oxfordshire,Sulphur dioxide,
1578,2018,Oxfordshire,Sulphur dioxide,
1579,2019,Oxfordshire,Sulphur dioxide,
1580,2020,Oxfordshire,Sulphur dioxide,
1581,2006,Reading,Sulphur dioxide,
1582,2007,Reading,Sulphur dioxide,
1583,2008,Reading,Sulphur dioxide,
1584,2009,Reading,Sulphur dioxide,
1585,2010,Reading,Sulphur dioxide,
1586,2011,Reading,Sulphur dioxide,
1587,2012,Reading,Sulphur dioxide,
1588,2013,Reading,Sulphur dioxide,
1589,2014,Reading,Sulphur dioxide,
1590,2015,Reading,Sulphur dioxide,
1591,2016,Reading,Sulphur dioxide,
1592,2017,Reading,Sulphur dioxide,
1593,2018,Reading,Sulphur dioxide,
1594,2019,Reading,Sulphur dioxide,
1595,2020,Reading,Sulphur dioxide,
1596,2004,South West London,Sulphur dioxide,3.6766297524963676
1597,2005,South West London,Sulphur dioxide,3.024966778016487
1598,2006,South West London,Sulphur dioxide,3.4819578766882224
1599,2007,South West London,Sulphur dioxide,3.706443339957739
1600,2008,South West London,Sulphur dioxide,
1601,2009,South West London,Sulphur dioxide,
1602,2010,South West London,Sulphur dioxide,
1603,2011,South West London,Sulphur dioxide,
1604,2012,South West London,Sulphur dioxide,
1605,2013,South West London,Sulphur dioxide,
1606,2014,South West London,Sulphur dioxide,
1607,2015,South West London,Sulphur dioxide,
1608,2016,South West London,Sulphur dioxide,
1609,2017,South West London,Sulphur dioxide,
1610,2018,South West London,Sulphur dioxide,
1611,2019,South West London,Sulphur dioxide,
1612,2020,South West London,Sulphur dioxide,
1613,2004,Surrey Heartlands,Sulphur dioxide,2.9746653578090463
1614,2005,Surrey Heartlands,Sulphur dioxide,2.004275568566363
1615,2006,Surrey Heartlands,Sulphur dioxide,2.1142969388133332
1616,2007,Surrey Heartlands,Sulphur dioxide,1.6756255327349385
1617,2008,Surrey Heartlands,Sulphur dioxide,1.5384090491570992
1618,2009,Surrey Heartlands,Sulphur dioxide,1.5886554467179486
1619,2010,Surrey Heartlands,Sulphur dioxide,
1620,2011,Surrey Heartlands,Sulphur dioxide,
1621,2012,Surrey Heartlands,Sulphur dioxide,
1622,2013,Surrey Heartlands,Sulphur dioxide,
1623,2014,Surrey Heartlands,Sulphur dioxide,
1624,2015,Surrey Heartlands,Sulphur dioxide,
1625,2016,Surrey Heartlands,Sulphur dioxide,
1626,2017,Surrey Heartlands,Sulphur dioxide,
1627,2018,Surrey Heartlands,Sulphur dioxide,
1628,2019,Surrey Heartlands,Sulphur dioxide,
1629,2020,Surrey Heartlands,Sulphur dioxide,
1630,2004,Watford,Sulphur dioxide,
1631,2005,Watford,Sulphur dioxide,
1632,2006,Watford,Sulphur dioxide,
1633,2007,Watford,Sulphur dioxide,
1634,2008,Watford,Sulphur dioxide,
1635,2009,Watford,Sulphur dioxide,
1636,2010,Watford,Sulphur dioxide,
1637,2011,Watford,Sulphur dioxide,
1638,2012,Watford,Sulphur dioxide,
1639,2013,Watford,Sulphur dioxide,
1640,2014,Watford,Sulphur dioxide,
1641,2015,Watford,Sulphur dioxide,
1642,2016,Watford,Sulphur dioxide,
1643,2017,Watford,Sulphur dioxide,
1644,2018,Watford,Sulphur dioxide,
1645,2019,Watford,Sulphur dioxide,
1646,2020,Watford,Sulphur dioxide,
